Group,Unique_times,chat
,0:50:34,"[' MercyWing1 LUL MercyWing2', ' NotLikeThis', ' LUL ANOTHER ONE', ' BOOOOOOOO', ' OWLTracer OWLTracer OWLTracer OWLTracer', ' his not even singing', ' SPAM STOP', ' haHAA', ' forsenLewd forsenLewd forsenLewd forsenLewd', ' STOP!', ' haHAA', ' WHAT A CLOWN LUL WHAT A CLOWN LUL WHAT A CLOWN LUL', ' owlsfs150', ' LUL']"
,0:50:35,"[' cringe', ' KHALED', ' ANOTHER ONE', ' ANATHA ONE', ' reported', ' DansGame', ' rode hog time', "" Hype man doesn't work without an actual artist singing."", ' LOL', ' PLZ STOP NotLikeThis NotLikeThis', "" match doesn't start until 4"", ' My ears are bleeding', ' PogChamp', ' NA MUSIC NotLikeThis']"
,0:50:36,"[' owlldn100 owlldn100', ' haHAA', ' KHALED', ' must be hard to be DJ Khaled with the same 5 words....', ' WE WANT OW', ' ACTUALLY OMEGALUL', ' the cringe', ' Hé gets paid to do this?', ' owlphi100', ' STOP.']"
,0:50:37,
,0:50:38,"[' idk who should feel worse Bliz or DJ whats his name', ' no one knows the ltyrics', ' haHAA STOP', ' LUL', ' who is he?', ' LUL LUL LUL', ' When you only know a few words of a song', ' HAHAHAHAHAHA', ' SO MUCH TALENT', ' haHAA', ' Please stop', ' Nerds', ' oh no\\', ' this is so damn bad']"
,0:50:39,"[' moon2LUL', ' NO DONT SING IT', ' CALVIN IS BETTER LUL', ' WHAT IS HAPPENING', ' FailFish', ' fusion', ' STOOP', ' boh boh wheelie dealie right near the beach boyeeee. lordamercy.', ' OWLPHIg', "" This is actually the worst live performance I've ever witnessed"", ' DJ Cringe', ' OMEGALUL', ' PLEASE STOP', ' SING IT BabyRage SING IT BabyRage', ' LUL NO ONE KNOWS IT']"
5,1:10:31,"[' JEFF', ' ??', ' P A R E N T S', ' owlshd100', ' OWLLDNg', ' owldal150']"
,1:10:32,"[' 👌👌👌👌', ' come on london!', ' ЛОНДОН ВЫИГРАЕТ', ' least the kids like their parents man', "" MAMA's BOY LUL"", ' nani', ' SURE Kappa', ' ДАЙТЕ МНЕ ГРАФФИТИ : 9', ' FREE HIM', ' GOOD SON', ' Who plays this game']"
,1:10:33,"[' PARENTS PogChamp', ' Kappa', ' SPEND MONEY ON BLOW AND GIRLS', ' OWLOrisa OWLReinhardt OWLWinston', ' OWLselfdestruct', ' PARENTS LUL', ' owlval100 owlval100', ' LOOOOOLhead', ' WeSmart']"
,1:10:34,"[' they are copy pasted', ' THESE ARE GOOD BOYS!!', ' owlsfs100 owlsfs100', ' owldal100 owldal100', ' BDOSIN', ' liar', ' No excessive use of emotes allowed (derphog04) (warning)', ' What what?', ' Hype', ' yaaaacht']"
,1:10:35,"[' so nice', ' Awww', ' Neptuno big brain', ' MAMA ', ' look at all these good boys', ' BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage', ' YACHT', ' DJ KHALED = JEFF', ' WE WANT DJ KHALED']"
,1:10:36,"[' OWLpotg', ' Stupid koreans LUL', ' good son OWLMercy', "" RIP YESTERDAY'S SPRAYS BibleThump BibleThump BibleThump"", ' this is script']"
,1:10:37,"[' is it done ?', ' Hi', ' YACHT LUL', ' asian parents XD', ' OWLMercy OWLMercy', ' wholesome bois', ' PLEASE WIN CARPE', ' YATE', ' OWLselfdestruct OWLselfdestruct OWLselfdestruct OWLselfdestruct', ' oh nice all good to perants', ' owlseo150 owlphi150 owlval150', ' NEPTUN LUL', ' the univerasal answer']"
,1:10:38,"[' Jeff is GOD OF NERFS', ' ', ' NEPTUNO PogChamp', ' Give me a 30$ pass for nothing in return Kappa', ' Jebaited', ' CHAT Y U PLAT LUL', ' im gay', "" Let's enjoy a match"", ' LUL', ' LETS GO YACHT', ' LUL', ' owlldn100 owlldn100']"
,1:10:39,"[' OWLheadshot OWLhugeres', ' YACHT LUL', ' Yacht', ' LUL', ' wtf lul', ' LUL', ' yes', ' My names jews', ' YACHT LUL', ' LUL LUL']"
,1:10:40,"[' ALL HAIL LORD JEEF', ' CARPE GOOD BOI', ' LUL', ' чот изи', ' ?????????', ' PARENTS LUL', ' Food is good', ' 4Head', ' LUL', ' LOL', ' THIS VIDEO AGAIN espBuenmeta espBuenmeta espBuenmeta', ' YACHT']"
,1:10:41,"[' YACHTE', ' ez', ' Neptuno yacht LUL', ' YACHT VS PARENTS LUL', ' owlval1000', ' It starts in 4 min', ' YACHT', ' LUL save up', ' LUL', ' FREE HIM CYKAS', ' owlseo150', ' PUT IT ALL ON BLACK', ' Yacht xqcM', ' YACHT POGGERS']"
,1:10:42,"[' owlgla100 owlgla100 owlgla100', ' LUL', ' LUL', ' LUL', ' LMAO NEPTUNO LUL', ' Sure Kappa', ' ', ' LUL', ' OMEGALUL', ' BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage BRING OUT DJ JEFF SwiftRage !', ' yaht lmao', ' Type messages']"
,1:10:43,"[' Philly Philly', ' LUL', ' YACHT LUL', ' hahahaha', ' Yeet', ' LUL', ' YACHT', ' YACHT LUL', ' MercyWing1 PinkMercy MercyWing2', ' worlds smallest yacht', ' YACHT LUL', ' YEET=', ' САСАТ САСАТ', ' YACHT LUL', ' Ruined']"
,1:10:44,"[' parents in 2018 LUL', ' good son', ' OWLPHIg OWLPHIg OWLPHIg', ' YACHT BOIS', ' YACHT!', ' THE GOOD BOS', ' GOOD SONS', ' YACHT LUL', ' Aww hes giving it to his parents', ' YACHT xqcDab', ' EQO i luv hiimmmmm bleedPurple', ' JATT', ' YACHT xqcPoppin']"
,1:10:45,"[' owlbos150 owlfla150 owlnye150', ' LUL', ' NEPTUNO LUL', ' YAATT', ' LUL', ' yacht ? you need more than a million', ' lmao', ' Carpe is noble', ' LUL', ' forsenOMEGA forsenOMEGA forsenOMEGA forsenOMEGA', ' YACHT PogChamp', ' Love this fun stuff', ' sah dude', ' LUL', ' YACHT']"
,1:10:46,
,1:10:47,"[' ', ' BloodTrail BloodTrail BloodTrail BloodTrail', ' yacht????', ' less than 4 min', ' STILL JEFF MrDestructoid', ' What', ' BasedGod ClassikalCase p', ' LUL', ' Y LUL GHT', ' gonna be a small yacht', ' :D :D :D', ' No spamming allowed (PRONeon_OW)', ' LUL', ' yacht¿', ' bruh']"
6,1:18:29,"[' ', "" ha'"", ' LUL TTours', ' BRING BACK DJ KHALIF', ' TTours', ' THEY WILL', ' XD LUL', ' XD', ' XD', ' yay', ' no chance', ' XD', ' XD', ' DIsney LUL', ' OWLteamkill OWLteamkill OWLteamkill']"
,1:18:30,"[' ', ' XD', ' owldal100', ' XD', ' PinkMercy PinkMercy', ' owlseo150', ' NA PRODUCTION', ' XD', ' XD', ' GIFT ME ALL ACCESS TO SUPPORT MY SPAM LUL', ' XD', ' @dunty047 cmonBrug', ' LETS GO FUSION!!', ' Lets go', ' leta go duuude']"
,1:18:31,"[' PogChamp', ' CoolCat SPAM THIS KIT CoolCat TO HELP LONDON SPIT CoolCat l']"
,1:18:32,[' owlseo100 owlseo50']
,1:18:33,"[' 오는 집', ' ANOTHER ONE', ' CAMERA 3 DAMMIT', ' Anyone else having buffering problems?', ' XD', ' XD', ' XD', ' XD', ' disney rlly??', ' LETS GOO', ' XD', ' PogChamp', ' CoolCat SPAM THIS KIT CoolCat TO HELP LONDON SPIT CoolCat ', ' TTours', ' owlldn100 owlldn100 owlldn100 owlldn100 owlldn100']"
,1:18:34,"[' XD', ' Where is WutFace ?', ' DISNEY XD LUL', ' OWLpotg OWLpotg OWLpotg OWLpotg', ' HEADY TRADES FOR ALL ACCESS GIFT. PEACE AND LOVE', ' X D', ' XD', ' DXDXXDXDXDDXDXDXDX', ' 20000+ tickets sold', ' D I S N E Y XD', ' A', ' owlphi100 owlphi100 owlphi100', ' Kappu', ' WE NEED KHALED', ' DISNEY RAWR xD']"
,1:18:35,"[' Where do Khalid at?????', ' tryhard 7']"
,1:18:36,"[' XD', ' CARPE UNLEASHED', ' DISNEY LUL LUL', ' ESPEN LUL', ' Xd', ' MercyWing1 PinkMercy MercyWing2', ' ITS COMING HOME LADS!! PogFooty', ' Kappa Kappa Kappa', ' OWLzzz', ' esketit', ' owlphi150', ' XD', ' Disney xd lol', ' DISNEY LUL', ' XD']"
,1:18:37,"[' XD', ' mendoXD mendoXD mendoXD', "" @batsmile because it's a hockey arena and all hockey arena's in north america have american and canadian flags"", "" We're back baby"", ' DISNEY EGGS DEEEEE', ' LUL LUL LUL LUL', ' IT’S COMING HOME', ' Game 3', ' XD', ' XD', ' OWLnerfthis', ' OWLselfdestruct OWLselfdestruct', "" let's go fusion !"", "" let's goooo"", ' DISNEY CHAT OMEGALUL']"
,1:18:38,
,1:18:39,
,1:18:40,
,1:18:41,"[' XD', ' xDso funny', ' SabaPing SabaPing SabaPing', ' OWLLDNg OWLLDNg OWLLDNg', ' TriHard7', ' MercyWing1 PinkMercy MercyWing2', ' SabaPing SabaPing SabaPing SabaPing SabaPing', ' PagChomp', ' hi', ' MOXXERS', ' espn 3 LUL Kappa', ' OWLAna OWLAna OWLAna', ' EcksDee', ' TTours', ' xdxdxdxdxd']"
,1:18:42,"[' MercyWing1 SabaPing MercyWing2', ' XD', ' XD', ' OWLgold OWLgold OWLLDNg OWLLDNg OWLLDNg OWLLDNg', ' bleedPurple bleedPurple bleedPurple', ' WE WANT A MATCH 3 OWLSymmetra', ' LUL LUL LUL', ' OWLWidowmaker', ' owlsfs150', ' LUL', ' London for the win', ' owlphi50']"
,1:18:43,"[' Disney X LUL D', ' REVERSE SWEEEEEEEEP', ' haHAAAA', ' portilloGarbage portilloGarbage portilloGarbage portilloGarbage portilloGarbage', ' No excessive use of emotes allowed (PokegamerHobden) (warning)', ' haHAA', ' what all do you get for watching the stream', ' hi', ' OWLgetonpoint OWLgetonpoint OWLgetonpoint OWLgetonpoint OWLgetonpoint OWLgetonpoint OWLgetonpoint', ' owlldn100', ' Doo Doo', ' OWLPHI OWLPHI OWLPHI OWLPHIg OWLPHIg OWLPHIg', ' 4Head XD LOOOL']"
