Unique_times,chat,
4:17:27,"[' geegeee', ' monkaW', ' LULW', ' dreadsHi @Lesterberne']",
4:17:28,,' BlessRNG'
4:17:29,"[' WATS GOING ON????', ' Pog', ' F']",
4:17:30,"[' conced BlessRNG', ' ESPORTS', ' fifiBless']",
4:17:31,"[' NotLikeThis', ' LuL', ' monkaW 💣', ' LULW', ' WHy is he Trading LULW']",
4:17:32,"[' wahhhhhhh', ' purplewGMbtw', ' LUL', ' LULW']",
4:17:33,"[' LULW', "" why wouldn't he leave prelate alive?"", ' LULW', ' GG LUL', ' ESPORTS LUL', ' LULW']",
4:17:34,"[' gg LUL', ' OMG IS THAT PRISMATIC LENS PALA?', ' LUL', ' MMMMMMONKA', ' BlessRNG', ' HSWP']",
4:17:35,"[' SKILLSTONE', ' BabyRage', ' FeelsBadMan', ' REKT OMEGALUL', ' F', ' ouch', ' F']",
4:17:36,"[' PogChamp PogChamp PogChamp PogChamp', ' LULW', ' LUL', ' lol', ' OMEGALUL', "" I'm so glad purple lost :)"", ' EZ', ' F']",
4:17:37,"[' rough', ' BabyRage', ' LUL']",
4:17:38,"[' fifiCry', ' purple PepeHands', ' RNGed', ' EZ', ' NVM GO EDDIE!!', ' POG']",
4:17:39,"[' f', ' BloodTrail BloodTrail BloodTrail BloodTrail', ' PogChamp', ' LUL LUL LUL', ' Pog', ' LUL']",
4:17:40,"[' Gg', ' how do i get stuff', ' XD', "" THEY CAN'T EVEN COUNT BOMBS LUL"", ' EZ Clap', ' haha', ' NOOOOOOOO', ' gg haircut time homeless man', ' RIP', ' EZ Clap', ' lmao', ' easy', ' LUL', ' ROL']",
4:17:41,"[' LUL', ' Eddie the dork', ' LLOLLL', ' YEAAAAAAAAAAAAAAH', ' LUL', ' xD', ' EDDIE IS SO GOOD Pog', ' AS I SAID. WASTE OF TIME', ' LUK', ' EZ', ' LUL', ' ha']",
4:17:42,"[' lul', ' BlessRNG', ' @H3ARTHST0N3R AYAYA', ' EDDIEEEEE', ' LES GOOOOOOOOOO', ' FeelsBadMan', ' BabyRage', ' HAHA', ' LULW', ' FeelsBadMan', ' e sport PogChamp', ' gg', ' LUL', ' LUL LUL LUL']",
4:17:43,"[' OMEGALUL', ' LUL', ' HSWP', ' yay warrior lost :D', ' LULW', ' BibleThump', ' WOW!', ' EZ Clap']",
4:17:44,"[' Yes', ' purple PepeHands', ' Purple gg', ' bleedPurple bleedPurple', ' LUL LUL LUL LUL', ' Clap', "" THEY CAN'T EVEN COUNT BOMBS OMEGALUL""]",
