,index,event,event_code,time,user,message,category,code,diff
122,2274,match round two,9,[1:33:31] ,crypticrumpet,was there a balance patch,question,8,1.0
123,2275,match round two,9,[1:33:34] ,dtested,or qsbk combo,other,10,1.0
124,2276,match round two,9,[1:33:37] ,jaynines,anyone know how to buy characters on psn only giving me fight money option,game,9,1.0
125,4026,match round two,9,[2:48:49] ,squalladv,pieceandabiscuit yes to delete kari,other,10,1750.0
126,4027,match round two,9,[2:48:53] ,squalladv,pieceandabiscuit karin,other,10,1.0
127,4028,match round two,9,[2:48:56] ,sacredsilence,what do u guys think about zeku and falke,question,8,1.0
128,4029,match round two,9,[2:48:59] ,shinyakimura,roninwoof he did use sagat all the way in some of the matches,other,10,1.0
129,4030,match round two,9,[2:49:03] ,pieceandabiscuit,lol,goodp,6,1.0
130,4031,match round two,9,[2:49:06] ,mrlawyer,infexious got bodied by rashid,other,10,1.0
131,4032,match round two,9,[2:49:12] ,sidebysidefgc,zeku is sick falke needs something,other,10,1.0
132,4033,match round two,9,[2:49:18] ,megatonbeef,sacredsilence zeku is hype falke is boring,other,10,1.0
133,4034,match round two,9,[2:49:21] ,sidebysidefgc,like a personality,other,10,1.0
134,4035,match round two,9,[2:49:28] ,roninwoof,i want hom to win the final with sagat,other,10,1.0
135,4122,match round two,9,[2:54:08] ,akuma,is richard epcar voicing honda,question,8,87.0
136,4123,match round two,9,[2:54:09] ,jackiechun,does lucia has an overhead guyz,question,8,1.0
137,4124,match round two,9,[2:54:12] ,sidebysidefgc,butt is,other,10,1.0
138,4125,match round two,9,[2:54:14] ,shinyakimura,wow,goodp,6,1.0
139,4126,match round two,9,[2:54:16] ,bobdobbz,no but they def stayed true to honda unlike cody,cinfo,5,1.0
140,4127,match round two,9,[2:54:20] ,megatonbeef,ghostfromrdstrike turles for more goku,other,10,1.0
141,4128,match round two,9,[2:54:20] ,freakyyyy,human blanka,other,10,1.0
142,4129,match round two,9,[2:54:23] ,bloodwizardd,damage,caction,3,1.0
143,4130,match round two,9,[2:54:24] ,laverde,mustve been going crazy for that new gg,goodp,6,1.0
144,4131,match round two,9,[2:54:30] ,laverde,its so sexy,caction,3,1.0
145,4132,match round two,9,[2:54:36] ,nurselee,aitcho hard version probably leads into more combos but its on block yet the light version leaves him on block,caction,3,1.0
146,4133,match round two,9,[2:54:39] ,poorygone,anyone would,other,10,1.0
147,4134,match round two,9,[2:54:41] ,shinyakimura,whats the startup on his ex throw,question,8,1.0
148,4135,match round two,9,[2:54:44] ,beatsbynoelbrown,on your mark get set unfollow,comment,2,1.0
149,4136,match round two,9,[2:54:44] ,ghostfromrdstrike,they just announced dbfz world tour continuation so theyre definitely not done supporting this game,game,9,1.0
150,4137,match round two,9,[2:54:46] ,freakyyyy,the chip damage on the s hand omg,caction,3,1.0
151,4138,match round two,9,[2:54:49] ,empgeneraltsochicken,lmaooo,goodp,6,1.0
152,4182,match round two,9,[2:56:43] ,megatonbeef,mrlawyer akuma,request,1,44.0
153,4183,match round two,9,[2:56:47] ,ghostfromrdstrike,mr lawyer with the hot takes reoboon,other,10,1.0
154,4184,match round two,9,[2:56:50] ,horseapples,mrlawyer people have bad taste,other,10,1.0
155,4185,match round two,9,[2:56:54] ,1,predacn still lame,badp,7,1.0
156,4186,match round two,9,[2:56:56] ,freakyyyy,ehonda is my man,other,10,1.0
157,4187,match round two,9,[2:57:08] ,bobdobbz,its believe it,other,10,1.0
158,4188,match round two,9,[2:57:15] ,slickcriminal,wait da faq all these chars out now,game,9,1.0
159,4189,match round two,9,[2:57:21] ,manusfactum,hey chat how are the new characters looking so far,question,8,1.0
160,4190,match round two,9,[2:57:22] ,easxl,yeah,goodp,6,1.0
161,4191,match round two,9,[2:57:26] ,slickcriminal,oh wow,goodp,6,1.0
162,4192,match round two,9,[2:57:27] ,drragemonster,isnt it funny how e honda has the low tier god pose when he charges his gaurd break in v trigger,cinfo,5,1.0
163,4193,match round two,9,[2:57:32] ,beatsbynoelbrown,hey whats that guys stream so i can go follow him instead from now on,question,8,1.0
164,4194,match round two,9,[2:57:33] ,sidebysidefgc,i think crosup butt slam is,caction,3,1.0
165,4195,match round two,9,[2:57:37] ,manusfactum,thinking about getting poison and wanna know if we know if shes any good,question,8,1.0
166,4196,match round two,9,[2:57:40] ,aitcho,glass cannon glass cannon,request,1,1.0
