,index,event,event_code,time,user,message,category,code,diff,group,parts
122,2204,match round two,9,[1:29:30] ,brandx,honda s trial damage seems broken too pffff,cinfo,5,510,8,a
123,2205,match round two,9,[1:29:32] ,mrmuddyk,web swing,other,10,1,8,a
124,2206,match round two,9,[1:29:34] ,azraelgt,mjan,other,10,1,8,a
125,2207,match round two,9,[1:29:35] ,melloww,thats a plat player,cinfo,5,1,8,a
126,2208,match round two,9,[1:29:36] ,ahnima,tarzan swing lol,caction,3,1,8,a
127,2209,match round two,9,[1:29:40] ,azraelgt,fucking keyboard,caction,3,1,8,a
128,2210,match round two,9,[1:29:42] ,hennesyhufflepuf,qcb hk into super,other,10,1,8,a
129,2211,match round two,9,[1:29:42] ,ustinodj,anyone wanna do lobbies,question,8,1,8,a
130,2212,match round two,9,[1:29:49] ,renevbz,lame theme,cdesign,4,1,8,b
131,2213,match round two,9,[1:29:51] ,tristar,everybodys smurfin,game,9,1,8,b
132,2214,match round two,9,[1:29:54] ,valeriobr,tarzan tactics,caction,3,1,8,b
133,2215,match round two,9,[1:29:55] ,dtested,sounds like someone shouldve done trials,caction,3,1,8,b
134,2216,match round two,9,[1:29:55] ,poorygone,that swing can avoid fireball too,caction,3,1,8,b
135,2217,match round two,9,[1:29:56] ,topgunlt,sf secretly turning into mvc,game,9,1,8,b
136,2218,match round two,9,[1:29:56] ,tristar,laracrazy,other,10,1,8,b
137,2219,match round two,9,[1:29:57] ,beatsbynoelbrown,did you see poisons ex donger,question,8,1,8,b
138,2220,match round two,9,[1:29:58] ,bobdobbz,azraelgt lol,goodp,6,1,8,c
139,2221,match round two,9,[1:30:02] ,leafretv,hyperrollontft,other,10,1,8,c
140,2222,match round two,9,[1:30:05] ,majestichimeros,new top tier sf playing rookie division,game,9,1,8,c
141,2223,match round two,9,[1:30:05] ,azraelgt,ustinodj downloading patch i can tomorrow tho,game,9,1,8,c
142,2224,match round two,9,[1:30:06] ,pequenospock,this guy is a lol player,comment,2,1,8,c
143,2225,match round two,9,[1:30:20] ,valeriobr,welcome smurfs d,game,9,1,8,c
144,2226,match round two,9,[1:30:23] ,ensanesane,no rookie goes for that,comment,2,1,8,c
145,2227,match round two,9,[1:30:33] ,melloww,poor plebs trying the game out on free weekened only to get greeted by diamond players bullying them,comment,2,1,8,c
146,2395,match round two,9,[1:37:15] ,magicjerryfresh,this seems like a sako replacement for kage,cinfo,5,168,9,a
147,2396,match round two,9,[1:37:19] ,fighterinthestreet,will you playbpoison,request,1,1,9,a
148,2397,match round two,9,[1:37:20] ,dangalfthekrey,she has good corner carry shes like a mix of kensakuraratshit,cinfo,5,1,9,a
149,2398,match round two,9,[1:37:22] ,ninodiablo,fireballs give a lot of lockdown optiobs,cinfo,5,1,9,a
150,2399,match round two,9,[1:37:22] ,slylataupe,honda honda plzzz,request,1,1,9,a
151,2400,match round two,9,[1:37:26] ,poorygone,better fireball than kage,cinfo,5,1,9,a
152,2401,match round two,9,[1:37:26] ,snowfarmer,honda is fun,cinfo,5,1,9,a
153,2402,match round two,9,[1:37:27] ,ninodiablo,options,request,1,1,9,b
154,2403,match round two,9,[1:37:29] ,awoo,how is her vskill,question,8,1,9,b
155,2404,match round two,9,[1:37:30] ,daveski,yeah it is,other,10,1,9,b
156,2405,match round two,9,[1:37:31] ,taurusmagnus,she looks hella fun poison too,cdesign,4,1,9,b
157,2406,match round two,9,[1:37:33] ,spookyleonnueve,wack honda good they couldve picked better characters,game,9,1,9,b
158,2407,match round two,9,[1:37:36] ,daveski,im actually surprised by honda,cinfo,5,1,9,b
159,2408,match round two,9,[1:37:36] ,staycookin,anybody have a link for the psn bundle,game,9,1,9,b
160,2409,match round two,9,[1:37:42] ,yamsandjams,sin tech,other,10,1,9,c
161,2410,match round two,9,[1:37:44] ,ninodiablo,standing idle animation is weird,cdesign,4,1,9,c
162,2411,match round two,9,[1:37:44] ,countmeowingtonn,za warudo,other,10,1,9,c
163,2412,match round two,9,[1:37:49] ,valeriobr,otrust only smurfs todayplease mau,other,10,1,9,c
164,2413,match round two,9,[1:37:51] ,clinnamon,activated his stand,other,10,1,9,c
165,2414,match round two,9,[1:37:53] ,fyzx,magicjerryfresh sako gonna have a ball with her for sure,cinfo,5,1,9,c
166,2415,match round two,9,[1:37:55] ,jaynines,is bundle out on psn,game,9,1,9,c
167,2416,match round two,9,[1:37:59] ,redpotato,mario fireball,request,1,1,9,c
168,2417,match round two,9,[1:38:00] ,someguyzero,nonvt necalli,other,10,1,9,c
169,2465,match round two,9,[1:39:52] ,snowfarmer,he is no unga at all,cinfo,5,48,10,a
170,2466,match round two,9,[1:39:52] ,fyzx,shoulder combos from heavies and you can link a crlp after it,request,1,1,10,a
171,2467,match round two,9,[1:39:54] ,poorygone,they thought it was funny,other,10,1,10,a
172,2468,match round two,9,[1:39:55] ,raino,hes unga,other,10,1,10,a
173,2469,match round two,9,[1:39:57] ,raino,and hes bunga,other,10,1,10,a
174,2470,match round two,9,[1:39:58] ,lalilulelolz,only good thing about necalli is his theme,cdesign,4,1,10,a
175,2471,match round two,9,[1:40:04] ,daveski,i like how the water splashes at their feet,cdesign,4,1,10,b
176,2472,match round two,9,[1:40:12] ,cryojazz,compared to top tiers in s necalli is honest,cinfo,5,1,10,b
177,2473,match round two,9,[1:40:13] ,someguyzero,should have been bonchan vs machabo gf,other,10,1,10,b
178,2474,match round two,9,[1:40:17] ,topgunlt,epic paid valve employee to do the leak they are taking this opportunity to embarass steam,other,10,1,10,b
179,2475,match round two,9,[1:40:21] ,themrheadache,necalli is the most basic character in the game hes just really solid which means hes good and people whine and cry over any character thats better than theirs,cinfo,5,1,10,b
180,2476,match round two,9,[1:40:23] ,hulkbusterv,hes a jobber too,other,10,1,10,b
181,2477,match round two,9,[1:40:30] ,swiftruina,necalli is just lame and the story mode solidified that i dont see him coming back in the future,cinfo,5,1,10,c
182,2478,match round two,9,[1:40:37] ,ninodiablo,her fireballs and kick specials are good,cdesign,4,1,10,c
183,2479,match round two,9,[1:40:38] ,countmeowingtonn,i think poison is gonna get picked up by someone shes got some good shit,cinfo,5,1,10,c
