index,event,event_code,time,user,message,category,code,diff
4287,match round one,8,[2:59:46] ,shinyakimura,waaaait was that a unique intro for vs cody,cdesign,4,1
4288,match round one,8,[2:59:48] ,hitcombo,on crossup its minus,caction,3,1
4289,match round one,8,[2:59:51] ,metalxoath,reasons i didnt want honda in the game i knew hed be stupid lol,cinfo,5,1
4290,match round one,8,[2:59:54] ,rashidoo,thisll be interesting,comment,2,1
4291,match round one,8,[2:59:56] ,tomfromtheclouds,all hail our sumo overlord vesperscratch vesperscratch vesperscratch,cinfo,5,1
4292,match round one,8,[2:59:56] ,dankmemeslov,cant wait to clap some cheeks with honda,caction,3,1
4293,match round one,8,[2:59:56] ,bellfym,for sure is going have a balance patch in the near future,game,9,1
4309,match round one,8,[3:01:42] ,freakyyyy,all three characters are so good so far,game,9,16
4310,match round one,8,[3:01:42] ,azurewotan,honda tough,cinfo,5,1
4311,match round one,8,[3:01:42] ,moobot,join the arcade discord at httpsdiscordggesjxkm,other,10,1
4312,match round one,8,[3:01:48] ,mrlawyer,laverde dude youre thirsty as fuck,other,10,1
4313,match round one,8,[3:01:58] ,bellfym,poison feels interesting,cinfo,5,1
4314,match round one,8,[3:01:59] ,poorygone,did fchamp check honda,question,8,1
4315,match round one,8,[3:02:01] ,swiftruina,do we actually have dlc characters who are good on launch,question,8,1
4365,match round one,8,[3:05:41] ,azurewotan,kansai no doubt,cdesign,4,50
4366,match round one,8,[3:05:41] ,icexvader,oooo,other,10,1
4367,match round one,8,[3:05:43] ,damuffinman,could be jersey or boston,cdesign,4,1
4368,match round one,8,[3:05:46] ,randyinhd,brooklyn accent,cdesign,4,1
4369,match round one,8,[3:05:46] ,lionheartrawr,jersey,cdesign,4,1
4370,match round one,8,[3:05:46] ,admiralackbarssnackbar,yeah kansaiben,cdesign,4,1
4371,match round one,8,[3:05:47] ,shinyakimura,she has the brooklyn rage,cdesign,4,1
4372,match round one,8,[3:05:49] ,randyinhd,lol boston what a joke,goodp,6,1
4373,match round one,8,[3:05:52] ,zyxwhitewind,i should listen and see if i can tell,comment,2,1
4374,match round one,8,[3:05:55] ,dangalfthekrey,sounds pretty boston to me the way she says koahfee,cdesign,4,1
4375,match round one,8,[3:05:58] ,johow,it says boston somewhere,cdesign,4,1
4376,match round one,8,[3:06:00] ,ghostfromrdstrike,nah that is definitely not a jersey accent,cdesign,4,1
4377,match round one,8,[3:06:15] ,countmeowingtonn,brooklyn raaaage,cdesign,4,1
4378,match round one,8,[3:06:15] ,damuffinman,its like a fked up accent honestly like a mix of shit,cdesign,4,1
4405,match round one,8,[3:07:27] ,countmeowingtonn,use it to escape hondas superior sumo body,caction,3,27
4406,match round one,8,[3:07:28] ,theenygma,its all greek to me head,cdesign,4,1
4407,match round one,8,[3:07:29] ,skohlswet,abigail shouldve had a newfie accent,cdesign,4,1
4408,match round one,8,[3:07:33] ,freakyyyy,london city,other,10,1
4409,match round one,8,[3:07:35] ,cjgrayson,for lucia,cinfo,5,1
4410,match round one,8,[3:07:36] ,dangalfthekrey,i thought lucia looked wack as shit but shes grown on me i like her accent,cdesign,4,1
4411,match round one,8,[3:07:37] ,laughswithknives,gotham,other,10,1
4412,match round one,8,[3:07:40] ,laverde,dcu,other,10,1
4413,match round one,8,[3:07:40] ,rashidoo,probably chicago or some other shithole,cdesign,4,1
4414,match round one,8,[3:07:45] ,toumakami,canada,cdesign,4,1
4415,match round one,8,[3:07:46] ,nahuelpv,boston,cdesign,4,1
4416,match round one,8,[3:07:51] ,ghostfromrdstrike,metro city is supposed to be ny,cdesign,4,1
4417,match round one,8,[3:07:52] ,johow,lionheartrawr is there a boston in canada,question,8,1
4418,match round one,8,[3:07:55] ,beatsbynoelbrown,metro city based off flint michigan,game,9,1
4419,match round one,8,[3:07:55] ,bobdobbz,ny,other,10,1
4420,match round one,8,[3:08:03] ,dangalfthekrey,rashidoo excuse you im from chicongo and thats not a chicongoan accent,cdesign,4,1
4421,match round one,8,[3:08:07] ,freakyyyy,i think boston,cdesign,4,1
4422,match round one,8,[3:08:07] ,megatonbeef,skohlswet is there a canadian tire store there,other,10,1
4423,match round one,8,[3:08:10] ,explorinlauren,its an ny accent,cdesign,4,1
4479,match round one,8,[3:10:52] ,themegaguy,inb auto combos,caction,3,56
4480,match round one,8,[3:10:52] ,jamesedsmith,win,goodp,6,1
4481,match round one,8,[3:10:56] ,azurewotan,thats unreal engine,game,9,1
4482,match round one,8,[3:11:00] ,horseapples,yeah a guilty gear with actual animations is pretty wild,cdesign,4,1
4483,match round one,8,[3:11:02] ,empgeneraltsochicken,im really excited for the new gg and kof,game,9,1
4484,match round one,8,[3:11:08] ,empgeneraltsochicken,samurai shodown is fun as hell,game,9,1
